                                              
            ---------------------------------------------------------------------
             Slno    Investigations                                      Price   
            ---------------------------------------------------------------------
              1      24 Hrs URINARY PROTEINS                             700.00
              2      ABSOLUTE EOSINOPHIL COUNT(AEC)                      600.00
              3      AFB (Acid Fast Bacilli) CULTURE                     800.00
              4      ALBUMIN                                             200.00
              5      ANTENATAL PROFILE(ANC PROFILE)                      1.00
              6      APTT                                                600.00
              7      ASO TITRE                                           300.00
              8      ASO/R.A/C.R.P                                       900.00
              9      SERUM AMYLASE                                       400.00
              10     BICARBONATE                                         500.00
              11     BILE SALT & BILE PIGMENTS                           50.00
              12     SERUM BILIRUBIN                                     200.00
              13     BT CT                                               100.00
              14     BGNNHNHNHN                                          800.00
              15     BLOOD GROUP                                         100.00
              16     BLOOD UREA                                          200.00
              17     BLOOD UREA NITROGEN (BUN)                           200.00
              18     SERUM CALCIUM                                       200.00
              19     CBP                                                 300.00
              20     CK-MB                                               300.00
              21     CK-NAC                                              300.00
              22     ARTHRITIS PROFILE                                   2500.00
              23     CRP                                                 300.00
              24     URINE CULTURE & SENSIVITY                           750.00
              25     DENGUE IgG, IgM & NS1                               1500.00
              26     ESR                                                 100.00
              27     ESTROGEN                                            600.00
              28     FBS & PLBS                                          100.00
              29     FBS                                                 50.00
              30     FERRITIN                                            1000.00
              31     FSH                                                 500.00
              32     FT3 FT4                                             600.00
              33     HbA1c                                               500.00
              34     GLUCOSE TOLERANCE TEST(GTT)                         400.00
              35     GLYCOSYLATED HEMOGLOBIN(GHbA1c)                     500.00
              36     GRAM STAIN                                          250.00
              37     HAEMOGLOBIN                                         100.00
              38     HAEMOGRAM                                           250.00
              39     ECG                                                 400.00
              40     CUE                                                 100.00
              41     HBsAg                                               200.00
              42     HCV                                                 600.00
              43     HIV                                                 300.00
              44     SERUM IRON                                          650.00
              45     LH                                                  300.00
              46     LIPID PROFILE TEST                                  500.00
              47     LIVER FUNCTION TEST(LFT)                            500.00
              48     MALARIAL PARASITE (PV & PF)                         300.00
              49     MALARIAL PARASITE (SMEAR FOR MP)                    100.00
              50     MANTOUX TEST                                        200.00
              51     MYOGLOBIN                                           850.00
              52     PCV (Packed Cell Volume)                            100.00
              53     SERUM PHOSPHORUS                                    200.00
              54     PLATELET COUNT                                      200.00
              55     POST LUNCH BLOOD SUGAR                              70.00
              56     SERUM POTASSIUM                                     200.00
              57     URINE FOR PREGNANCY TEST                            100.00
              58     PROGESTERONE                                        800.00
              59     PROLACTIN                                           500.00
              60     PT                                                  500.00
              61     RA FACTOR                                           300.00
              62     RBS                                                 50.00
              63     REC (Reticulocyte Count)                            150.00
              64     GAMMA G.T.                                          250.00
              65     S.G.O.T.                                            200.00
              66     S.G.P.T.                                            200.00
              67     SEMEN ANALYSIS                                      200.00
              68     SERUM CREATININE                                    200.00
              69     SERUM PROTEINS                                      200.00
              70     SMEAR FOR FUNGAL ELEMENTS                           500.00
              71     SERUM SODIUM                                        200.00
              72     SPUTUM FOR A.F.B                                    400.00
              73     SPUTUM FOR MALIGNANT CELLS                          500.00
              74     STONE ANALYSIS                                      1000.00
              75     STOOL EXAMINATION                                   200.00
              76     STOOL FOR OCCULT BLOOD                              150.00
              77     T3                                                  250.00
              78     T4                                                  250.00
              79     TESTOSTERONE                                        750.00
              80     THYROID PROFILE (T3 T4 & TSH)                       500.00
              81     TOTAL CHOLESTEROL                                   200.00
              82     TOTAL PROTEINS                                      200.00
              83     SERUM TRIGLYCERIDES                                 200.00
              84     ULTRA SOUND WHOLE ABDOMEN                           600.00
              85     TSH                                                 300.00
              86     SERUM URIC ACID                                     200.00
              87     URINARY PROTEIN 24 HRS                              50.00
              88     URINE FOR MICROALBUMIN                              450.00
              89     VDRL                                                200.00
              90     VITAMIN D3                                          650.00
              91     WIDAL TEST WITH MP                                  400.00
              92     X-RAY CHEST PA                                      500.00
              93     X-RAY CHEST PA VIEW                                 500.00
              94     X-RAY CHEST AP VIEW                                 500.00
              95     X-RAY PELVIS                                        200.00
              96     X-RAY PNS                                           200.00
              97     X-RAY ABDOMEN ERRECT                                500.00
              98     X-RAY BOTH HIP JOINT AP & LATERAL VIEW              500.00
              99     X-RAY CERVICAL SPINE AP & LATERAL                   500.00
              100    X-RAY CERVICAL SPINE AP VIEW                        500.00
              101    X-RAY CERVICAL SPINE LATERAL VIEW                   500.00
              102    X-RAY CHEST LATERAL VIEW                            500.00
              103    X-RAY COCCYX AP & LATERAL VIEW                      500.00
              104    X-RAY COCCYX AP VIEW                                500.00
              105    X-RAY COCCYX LATERAL VIEW                           500.00
              106    X-RAY DORSAL SPINE AP & LATERAL VIEW                500.00
              107    X-RAY DORSAL SPINE AP VIEW                          500.00
              108    X-RAY DORSAL SPINE LATERAL VIEW                     500.00
              109    X-RAY IVP                                           2300.00
              110    X-RAY KUB                                           500.00
              111    X-RAY LEFT ANKLE AP & LATERAL VIEW                  500.00
              112    X-RAY LEFT ANKLE AP VIEW                            500.00
              113    X-RAY LEFT ANLKLE LATERAL VIEW                      500.00
              114    X-RAY LEFT ELBOW AP & LATERAL VIEW                  500.00
              115    X-RAY LEFT ELBOW AP VIEW                            500.00
              116    X-RAY LEFT ELBOW LATERAL VIEW                       500.00
              117    X-RAY LEFT FOREARM AP & LATERAL VIEW                500.00
              118    X-RAY LEFT HAND AP & LATERAL VIEW                   500.00
              119    X-RAY LEFT HAND AP VIEW                             200.00
              120    X-RAY LEFT HAND LATERAL VIEW                        200.00
              121    X-RAY LEFT HEEL LATERAL VIEW                        200.00
              122    X-RAY LEFT HUMEROUS AP & LATERAL VIEW               200.00
              123    X-RAY LEFT HUMEROUS AP VIEW                         200.00
              124    X-RAY LEFT HUMEROUS LATERAL VIEW                    200.00
              125    X-RAY LEFT KNEE JOINT AP & LATERAL VIEW             200.00
              126    X-RAY LEFT KNEE JOINT AP VIEW                       200.00
              127    X-RAY LEFT KNEE JOINT LATERAL VIEW                  200.00
              128    X-RAY LEFT LEG AP & LATERAL VIEW                    200.00
              129    X-RAY LEFT LEG AP VIEW                              200.00
